,Years,Anthropology,Astronomy and astrophysics,Biology,Chemistry,Computer sciences,Economics (except agricultural),Geosciences,Mathematics and applied mathematics,"Microbiology, immunology, and virology",Nutrition,Pharmacology and toxicology,Physics,Physiology,Sociology,Statistics,Science
0,1994,0.5596330275229358,0.375,0.4819277108433735,0.358974358974359,0.19393939393939394,0.2773722627737226,0.36893203883495146,0.1320754716981132,0.29545454545454547,0.7307692307692307,0.5238095238095238,0.10344827586206896,0.3076923076923077,0.4673913043478261,0.3392857142857143,0.34008810572687226
1,1995,0.6173913043478261,0.3333333333333333,0.4342105263157895,0.35714285714285715,0.15469613259668508,0.29285714285714287,0.40860215053763443,0.1509433962264151,0.2926829268292683,0.7407407407407407,0.5789473684210527,0.10227272727272728,0.3076923076923077,0.5632183908045977,0.3125,0.34564643799472294
2,1996,0.5757575757575758,0.26666666666666666,0.5571428571428572,0.36792452830188677,0.12025316455696203,0.3106060606060606,0.38372093023255816,0.13725490196078433,0.325,0.7037037037037037,0.6666666666666666,0.11764705882352941,0.25,0.5632183908045977,0.30985915492957744,0.3475783475783476
3,1997,0.5681818181818182,0.35714285714285715,0.5735294117647058,0.33980582524271846,0.12790697674418605,0.2558139534883721,0.41379310344827586,0.11864406779661017,0.30303030303030304,0.7307692307692307,0.7647058823529411,0.11764705882352941,0.14285714285714285,0.6666666666666666,0.4358974358974359,0.37874097007223945
4,1998,0.5882352941176471,0.3333333333333333,0.5,0.3118279569892473,0.14285714285714285,0.3358208955223881,0.4,0.14705882352941177,0.2692307692307692,0.7916666666666666,0.75,0.13186813186813187,0.2,0.61,0.4375,0.38021778584392013
5,1999,0.6241610738255033,0.42857142857142855,0.5285714285714286,0.2857142857142857,0.14772727272727273,0.2890625,0.3333333333333333,0.11688311688311688,0.375,0.8064516129032258,0.6842105263157895,0.16853932584269662,0.2,0.6161616161616161,0.5957446808510638,0.37567567567567567
6,2000,0.63125,0.4,0.5285714285714286,0.2857142857142857,0.14772727272727273,0.33076923076923076,0.42857142857142855,0.1724137931034483,0.4482758620689655,0.8064516129032258,0.7,0.19387755102040816,0.3333333333333333,0.6847826086956522,0.5957446808510638,0.4003542958370239
7,2001,0.6306818181818182,0.4,0.4880952380952381,0.2982456140350877,0.22522522522522523,0.319672131147541,0.5172413793103449,0.14285714285714285,0.5833333333333334,0.78125,0.55,0.20833333333333334,0.6,0.6309523809523809,0.375,0.397934868943606
8,2002,0.6206896551724138,0.4090909090909091,0.5052631578947369,0.26515151515151514,0.20085470085470086,0.36363636363636365,0.5,0.19642857142857142,0.6428571428571429,0.8064516129032258,0.5,0.20588235294117646,0.6,0.5733333333333334,0.4083333333333333,0.38621200889547813
9,2003,0.5868263473053892,0.4,0.5773195876288659,0.2900763358778626,0.20521172638436483,0.3559322033898305,0.5362318840579711,0.17647058823529413,0.6451612903225806,0.78125,0.5,0.21904761904761905,0.5,0.5512820512820513,0.3404255319148936,0.37162629757785465
10,2004,0.5952380952380952,0.4166666666666667,0.47619047619047616,0.3617021276595745,0.25268817204301075,0.34615384615384615,0.5294117647058824,0.2248062015503876,0.625,0.8529411764705882,0.5416666666666666,0.24324324324324326,0.45454545454545453,0.5675675675675675,0.35,0.38657105606258146
11,2005,0.5875706214689266,0.4,0.5087719298245614,0.4132231404958678,0.2219178082191781,0.36036036036036034,0.5841584158415841,0.24615384615384617,0.7333333333333333,0.7857142857142857,0.68,0.25663716814159293,0.45454545454545453,0.5507246376811594,0.39664804469273746,0.3989993746091307
12,2006,0.5864197530864198,0.375,0.5087719298245614,0.4015748031496063,0.20194647201946472,0.36036036036036034,0.5686274509803921,0.3082191780821918,0.75,0.8214285714285714,0.6086956521739131,0.27102803738317754,0.45454545454545453,0.5714285714285714,0.4444444444444444,0.39684466019417475
13,2007,0.6086956521739131,0.39285714285714285,0.5,0.4351145038167939,0.16733870967741934,0.35135135135135137,0.5754716981132075,0.272108843537415,0.7142857142857143,0.8,0.6363636363636364,0.2777777777777778,0.4,0.6086956521739131,0.40476190476190477,0.37521222410865873
14,2008,0.6187050359712231,0.42857142857142855,0.509090909090909,0.45614035087719296,0.17391304347826086,0.3220338983050847,0.5583333333333333,0.31788079470198677,0.76,0.8333333333333334,0.7222222222222222,0.2692307692307692,0.375,0.6,0.39655172413793105,0.38493231312536785
15,2009,0.6268656716417911,0.4482758620689655,0.42857142857142855,0.4090909090909091,0.1775,0.3114754098360656,0.5294117647058824,0.31125827814569534,0.7083333333333334,0.8333333333333334,0.6086956521739131,0.24299065420560748,0.375,0.5254237288135594,0.43089430894308944,0.3769414575866189
16,2010,0.6319444444444444,0.3793103448275862,0.44339622641509435,0.39849624060150374,0.23543123543123542,0.30833333333333335,0.5688073394495413,0.21830985915492956,0.6956521739130435,0.8888888888888888,0.631578947368421,0.23636363636363636,0.3333333333333333,0.6,0.43478260869565216,0.3859447004608295
17,2011,0.6382978723404256,0.43333333333333335,0.49056603773584906,0.4,0.2013274336283186,0.2868217054263566,0.5423728813559322,0.23030303030303031,0.5909090909090909,0.8695652173913043,0.6363636363636364,0.22641509433962265,0.3333333333333333,0.6049382716049383,0.5081967213114754,0.3887677208287895
18,2012,0.6569767441860465,0.5333333333333333,0.48,0.42063492063492064,0.2462526766595289,0.2857142857142857,0.5793650793650794,0.18435754189944134,0.5454545454545454,0.782608695652174,0.625,0.2,0.3076923076923077,0.5952380952380952,0.4716417910447761,0.3950617283950617
19,2013,0.66,0.5161290322580645,0.5445544554455446,0.36507936507936506,0.25190839694656486,0.2923076923076923,0.5565217391304348,0.23618090452261306,0.4583333333333333,0.6666666666666666,0.6,0.1523809523809524,0.3333333333333333,0.5802469135802469,0.511002444987775,0.3958130477117819
20,2014,0.6535433070866141,0.48148148148148145,0.5490196078431373,0.3787878787878788,0.2652027027027027,0.3161764705882353,0.5725190839694656,0.26382978723404255,0.6,0.6206896551724138,0.55,0.15463917525773196,0.23076923076923078,0.5512820512820513,0.5054945054945055,0.4017467248908297
21,2015,0.6415094339622641,0.5161290322580645,0.5321100917431193,0.375,0.2972972972972973,0.3358208955223881,0.5955882352941176,0.3459715639810427,0.5652173913043478,0.5517241379310345,0.5238095238095238,0.1134020618556701,0.2,0.5308641975308642,0.5071542130365659,0.4157303370786517
22,2016,0.7127659574468085,0.5714285714285714,0.504424778761062,0.37037037037037035,0.22241992882562278,0.400990099009901,0.5703125,0.4185022026431718,0.6666666666666666,0.6,0.42857142857142855,0.10101010101010101,0.25,0.5,0.5066225165562914,0.40901360544217685
